"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"NAVI","Navient Corporation","8.47","$1.64B","n/a","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/navi",
"NMCI","Navios Maritime Containers L.P.","0.9257","$32.03M","n/a","Transportation","Marine Transportation","https://old.nasdaq.com/symbol/nmci",
"NBTB","NBT Bancorp Inc.","28.89","$1.26B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/nbtb",
"NCNO","nCino, Inc.","74.26","$6.77B","2020","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/ncno",
"NCSM","NCS Multistage Holdings, Inc.","0.5601","$26.43M","2017","Energy","Oilfield Services/Equipment","https://old.nasdaq.com/symbol/ncsm",
"NKTR","Nektar Therapeutics","20.34","$3.64B","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/nktr",
"NMRD","Nemaura Medical Inc.","3.9","$89.29M","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/nmrd",
"NEOG","Neogen Corporation","75.05","$3.98B","1989","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://old.nasdaq.com/symbol/neog",
"NEO","NeoGenomics, Inc.","34.86","$3.85B","n/a","Health Care","Precision Instruments","https://old.nasdaq.com/symbol/neo",
"NLTX","Neoleukin Therapeutics, Inc.","14.02","$585.32M","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/nltx",
